number,name,area,centroidX,centroidY
3452,Vestre Slidre,-457977551.41937256,169895.12880904888,6781839.650421083
4601,Bergen,-466331126.3190994,-28799.261642151756,6730649.392162922
4213,Tvedestrand,-214127035.30041504,148409.41450761654,6515056.654148912
4627,Askøy,-94349024.5574646,-40980.57036077067,6744566.2142988155
3324,Gol,-533497683.97332764,173172.65552804075,6749540.7273770925
3222,Lørenskog,-70575076.60559082,274541.1693779138,6646300.054899689
4650,Gloppen,-1035187839.5299377,34111.228033331055,6874630.799657776
1120,Klepp,-114888945.63816833,-42685.367329322835,6552100.848956419
1812,Sømna,-190893944.52734375,371143.0680556705,7247263.4961593365
4645,Askvoll,-321345326.57353973,-23458.001997243657,6846481.489973869
4228,Sirdal,-1561513287.4645996,30070.82004583245,6553867.435613887
3301,Drammen,-316382909.85046387,227304.44039897158,6629559.71708828
1506,Molde,-1507652167.104004,136655.5563125186,6965314.686816162
5528,Dyrøy,-288282361.5883789,607625.265540151,7660571.713030746
5542,Skjervøy,-478941966.8833008,716077.906201634,7783687.504318013
5031,Malvik,-168887306.41455078,287966.42862421466,7034098.543053888
4602,Kinn,-805652479.4274979,-10792.98214489383,6875610.58933628
5041,Snåase - Snåsa,-2341555005.119873,384835.64282509347,7121970.141074938
3212,Nesodden,-61231678.98852539,255774.68151922428,6636378.644632285
4632,Austrheim,-51529338.85903931,-46418.405128253406,6780567.526653845
3435,Vågå,-1332240504.8516235,180123.75709335104,6852570.042159406
5047,Overhalla,-729840389.0842285,351083.5558649041,7151433.404620582
3451,Nord-Aurdal,-907851599.3371582,190693.78755968445,6772533.751810516
5061,Rindal,-632740901.8217773,211514.02155428732,7001965.104320118
4034,Tokke,-987741916.3444824,98705.37367963737,6612924.9871510565
1121,Time,-184321049.32922363,-33642.734278160664,6544414.207614632
3440,Øyer,-640425066.295166,261117.8859175525,6806582.629229053
3334,Flesberg,-562781803.1663818,191635.3401979259,6647310.78967927
3214,Frogn,-84601963.69641113,256120.9510764638,6626305.597278398
4020,Midt-Telemark,-519498346.9371338,167555.36122924846,6602585.94258188
5624,Lebesby,-3470243049.680664,936057.72066197,7861399.862596875
1133,Hjelmeland,-1074413983.2193184,12880.435241460966,6596162.734271244
1514,Sande,-93110706.03084755,11763.74528089548,6935750.376968893
1557,Gjemnes,-382656314.8873291,135667.64170903465,6994050.230466937
5634,Vardø,-605263231.1269531,1081353.3506047714,7878367.148551001
3447,Søndre Land,-728922774.1281738,241777.35661805738,6736078.362678558
3419,Våler,-705110994.5699463,334027.1194946357,6742657.464358243
4219,Evje og Hornnes,-589142829.8303528,79789.91165857605,6516092.825034696
1577,Volda,-881583165.3570557,44864.894116134994,6910899.475700989
3422,Åmot,-1340036940.1055908,312245.572203304,6796218.495697136
1573,Smøla,-255157591.8968506,151221.55086284797,7047660.730175528
5630,Berlevåg,-1127703236.9082031,1014141.455026333,7901591.21033737
5538,Storfjord - Omasvuotna - Omasvuono,-1543180312.6552734,712506.0158779536,7688753.442902026
1839,Beiarn,-1221175175.592041,485040.4758971152,7418760.20973607
4216,Birkenes,-639331978.970398,103257.02219413806,6498566.927962769
3234,Lunner,-292051140.522583,260019.9915339145,6686568.071582475
5524,Målselv,-3326993700.0249023,675884.9635764477,7650798.252688333
3407,Gjøvik,-671564153.3927002,254286.68314726386,6758784.939825087
3442,Østre Toten,-562836641.3438721,275092.5335274184,6726254.207176682
3429,Folldal,-1278162754.8735352,240785.28681193467,6903527.314342542
5033,Tydal,-1328493889.6396484,338402.7742854824,6990480.856548227
5027,Midtre Gauldal,-1861395624.3831787,273173.5316163209,6982541.577708233
